month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-09-01,A DIVISION,"2",peak,"3,240,494.5","1.0437007","0.38953578","3,382,106.5","1,262,288.6","404,241.2",12.4746755%,87.525326%
2024-09-01,A DIVISION,"3",offpeak,"1,968,692.4","0.93181145","0.32374835","1,834,450.1","637,360.94","237,717.44",12.07489%,87.92511%
2024-09-01,A DIVISION,"3",peak,"2,556,601","0.84172016","0.34269726","2,151,942.5","876,140.1","259,045.88",10.132433%,89.86757%
2024-09-01,A DIVISION,"4",offpeak,"3,672,171","0.9810216","0.5630076","3,602,479","2,067,460.2","510,700.8",13.907327%,86.092675%
2024-09-01,A DIVISION,"4",peak,"3,943,581.2","0.9306672","0.44812366","3,670,161.8","1,767,212.1","495,716.1",12.570201%,87.4298%
2024-09-01,A DIVISION,"5",offpeak,"2,480,130.5","1.1897842","0.7250947","2,950,820","1,798,329.2","364,898.7",14.712884%,85.28712%
2024-09-01,A DIVISION,"5",peak,"3,236,978.5","1.0093887","0.32883742","3,267,369.5","1,064,439.6","407,755.62",12.596798%,87.4032%
2024-09-01,A DIVISION,"6",offpeak,"4,905,211.5","1.131218","0.71236914","5,548,863","3,494,321.2","597,885.75",12.188786%,87.811214%
2024-09-01,A DIVISION,"6",peak,"5,485,017.5","1.2416402","0.89888406","6,810,418","4,930,394.5","744,668.75",13.576415%,86.42358%
2024-09-01,A DIVISION,"7",offpeak,"3,752,982.2","0.7509308","0.50585884","2,818,230","1,898,479.2","380,718.84",10.1444356%,89.855564%
2024-09-01,A DIVISION,"7",peak,"4,156,502.8","0.67342675","0.40154094","2,799,100","1,669,005.9","273,851.47",6.5885074%,93.411493%
2024-09-01,A DIVISION,S 42nd,offpeak,"301,819.4","0.56430465","-0.11664779","170,318.1","-35,206.566","6,639.94",2.1999713%,97.80003%
2024-09-01,A DIVISION,S 42nd,peak,"414,072.84","0.434626","-0.12078728","179,966.83","-50,014.734","3,099.6567",0.7485776%,99.251425%
2024-09-01,B DIVISION,A,offpeak,"3,412,484.5","1.2692854","0.7666055","4,331,417","2,616,029.2","712,814.25",20.888424%,79.111576%
2024-09-01,B DIVISION,A,peak,"4,259,487.5","1.1775117","0.6687057","5,015,597","2,848,343.5","712,175.06",16.719735%,83.280265%
2024-09-01,B DIVISION,B,offpeak,"2,026,493.4","1.9895414","1.3488299","4,031,792.5","2,733,394.8","516,303.6",25.477684%,74.522316%
2024-09-01,B DIVISION,B,peak,"2,638,374.5","1.8018155","1.1367378","4,753,864","2,999,140","632,184.4",23.961131%,76.03887%
2024-09-01,B DIVISION,C,offpeak,"2,233,343.8","1.5281557","0.498233","3,412,896.8","1,112,725.5","368,814.28",16.513996%,83.486%
2024-09-01,B DIVISION,C,peak,"1,975,825","1.717965","0.46117127","3,394,398.2","911,193.7","349,316.7",17.679535%,82.320464%
2024-09-01,B DIVISION,D,offpeak,"2,620,380.2","1.9421533","1.0082668","5,089,180.5","2,642,042.2","661,406.7",25.240865%,74.75913%
2024-09-01,B DIVISION,D,peak,"2,600,287.5","1.7051443","1.0921556","4,433,865.5","2,839,918.5","610,578.9",23.481207%,76.51879%
2024-09-01,B DIVISION,E,offpeak,"3,157,222.2","1.2319611","0.29317755","3,889,575.2","925,626.7","462,972.56",14.66392%,85.33608%
2024-09-01,B DIVISION,E,peak,"3,641,131.5","1.6295669","-0.15439126","5,933,467.5","-562,158.9","458,059.3",12.580137%,87.41986%
2024-09-01,B DIVISION,F,offpeak,"3,829,121.5","1.9634808","0.25792357","7,518,407","987,620.7","850,986.8",22.224073%,77.775925%
2024-09-01,B DIVISION,F,peak,"4,403,028.5","1.7183375","-0.24056727","7,565,889","-1,059,224.5","731,910.06",16.622877%,83.37712%
2024-09-01,B DIVISION,G,offpeak,"1,081,447.9","1.4864346","1.0514147","1,607,501.6","1,137,050.2","196,800.19",18.197842%,81.80216%
2024-09-01,B DIVISION,G,peak,"1,228,778.2","1.1426487","0.7419058","1,404,062","911,637.75","220,905.38",17.977645%,82.022357%
2024-09-01,B DIVISION,JZ,offpeak,"1,373,955.6","1.3711053","0.938262","1,883,837.8","1,289,130.4","307,736.28",22.397834%,77.602166%
2024-09-01,B DIVISION,JZ,peak,"1,431,549.6","1.1980244","0.56794655","1,715,031.2","813,043.7","257,174.62",17.964771%,82.035226%
2024-09-01,B DIVISION,L,offpeak,"2,539,747.5","1.0304389","0.564708","2,617,054.5","1,434,215.8","221,931.06",8.738312%,91.261685%
2024-09-01,B DIVISION,L,peak,"2,646,483.5","1.5577039","0.6527429","4,122,437.8","1,727,473.5","240,289.4",9.0795726%,90.920424%
2024-09-01,B DIVISION,M,offpeak,"1,587,871.2","2.020676","0.34533367","3,208,573.2","548,345.44","355,107.03",22.363715%,77.636284%
2024-09-01,B DIVISION,M,peak,"1,872,611.1","2.2664196","0.31831262","4,244,123","596,075.75","411,714.62",21.986125%,78.013873%
2024-09-01,B DIVISION,N,offpeak,"2,407,703.8","1.4413565","0.9228561","3,470,359.8","2,221,964","498,171.3",20.690723%,79.30928%
2024-09-01,B DIVISION,N,peak,"2,681,831.5","1.3834472","0.46180257","3,710,172.2","1,238,476.8","462,213.9",17.23501%,82.76499%
2024-09-01,B DIVISION,Q,offpeak,"2,981,502.2","1.4626008","1.181979","4,360,747.5","3,524,073","690,518.3",23.16008%,76.83992%
2024-09-01,B DIVISION,Q,peak,"3,286,226.5","1.2871506","0.88069266","4,229,868.5","2,894,155.8","643,467.5",19.580741%,80.41926%
2024-09-01,B DIVISION,R,offpeak,"3,184,356.2","1.6928617","0.21334451","5,390,674.5","679,364.94","661,391.94",20.770036%,79.22996%
2024-09-01,B DIVISION,R,peak,"3,606,744.2","1.6314431","0.049345985","5,884,198","177,978.36","638,683.9",17.708044%,82.291955%
